occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
1360,0.33053332164583704,2453907.5227,0.13469673106595145,Civil engineers,185,64.95238095238095,438,16.761904761904766
6442,0.3294946057625349,3349436.4813,0.09837314652841239,"Plumbers, pipefitters, and steamfitters",186,64.76190476190476,473,10.095238095238091
3620,0.329338312176028,502447.1982,0.655468501677134,Physical therapist assistants and aides,187,64.57142857142857,64,88.0
6515,0.3286957903355459,1219619.3482,0.2695068677129945,Roofers,188,64.38095238095238,274,48.0
3230,0.323861857338763,1081756.0381,0.29938530124370283,Speech-language pathologists,189,64.1904761904762,243,53.9047619047619
5850,0.321536045784827,272561.0195,1.1796846312604394,"Mail clerks and mail machine operators, except postal service",190,64.0,9,98.47619047619047
3322,0.3171954256840274,507657.6457,0.6248215275998696,Diagnostic medical sonographers,191,63.8095238095238,71,86.66666666666667
5410,0.3092139470476074,626302.6851,0.49371327060211484,Reservation and transportation ticket agents and travel clerks,192,63.61904761904762,116,78.0952380952381
3150,0.301564763187206,906866.9536,0.3325347362036746,Occupational therapists,193,63.42857142857143,221,58.09523809523809
1065,0.2950998451502752,743902.8183,0.3966913928685612,Database administrators and architects,194,63.23809523809524,173,67.23809523809523
1555,0.2942781188759224,1948442.261,0.1510325067189263,"Other engineering technologists and technicians, except drafters",195,63.047619047619044,411,21.904761904761905
640,0.29404574168473446,373807.7033,0.786623012551316,"Compensation, benefits, and job analysis specialists",196,62.857142857142854,44,91.80952380952381
7210,0.29268517629605056,1971394.8599,0.1484660339993466,Bus and truck mechanics and diesel engine specialists,197,62.66666666666667,416,20.952380952380956
3820,0.291092912867273,880703.9403,0.33052300500451504,Detectives and criminal investigators,198,62.476190476190474,223,57.714285714285715
860,0.2862962256132412,662647.0784,0.43204932904030924,Insurance underwriters,199,62.28571428571428,151,71.42857142857143
1240,0.28543637721880744,1947241.916,0.14658495941025512,Other mathematical science occupations,200,62.095238095238095,420,20.190476190476193
140,0.2849347512545969,1680232.5053,0.1695805493322025,Industrial production managers,201,61.904761904761905,384,27.047619047619044
6240,0.28006146295712736,802908.6009,0.34880864726470684,"Carpet, floor, and tile installers and finishers",202,61.71428571428572,210,60.1904761904762
8255,0.27255235072764983,731471.9407,0.3726080736149963,Printing press operators,203,61.523809523809526,192,63.61904761904762
7640,0.2700978257126931,1097960.7725,0.2459995224580695,"Other installation, maintenance, and repair workers",204,61.33333333333333,300,43.047619047619044
3220,0.26819455909169504,574881.3354,0.46652159772257423,Respiratory therapists,205,61.142857142857146,128,75.80952380952381
3402,0.2669520935727832,568519.6007,0.4695565346279946,Paramedics,206,60.952380952380956,124,76.57142857142857
