occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
7160,0.000568860835616233,446,0.1507633587786259,0.03672074550599376,Automotive glass installers and repairers,122725.43830000001
1460,0.0005660377381772382,447,0.14885496183206104,0.03649306324577262,Mechanical engineers,2324306.1576
3840,0.000557501296606393,448,0.14694656488549618,0.035804600890825426,Parking enforcement workers,121599.3214
8250,0.0005560750375210901,449,0.14503816793893132,0.03568957337256934,Prepress technicians and workers,90381.6257
6720,0.0005506473189336883,450,0.14312977099236646,0.03525182892253577,Hazardous materials removal workers,157730.2327
8450,0.0005500543224278635,451,0.14122137404580148,0.03520400386949846,Upholsterers,116164.2203
9265,0.0005333907498658828,452,0.13931297709923662,0.033860089978371255,Other rail transportation workers,81726.8059
1800,0.0005325475330292862,453,0.13740458015267176,0.03379208470424894,Economists,163857.9537
1750,0.0005257334901541124,454,0.1354961832061069,0.03324253346962498,"Geoscientists and hydrologists, except geographers",214367.9679
6825,0.0005226889448201428,455,0.13358778625954193,0.032996991479678384,"Earth drillers, except oil and gas",178286.12649999998
8465,0.0005066517195183018,456,0.13167938931297707,0.03170359237344741,"Other textile, apparel, and furnishings workers",87158.95820000001
3801,0.0005062480707784235,457,0.1297709923664122,0.03167103818096313,Bailiffs,95934.71729999999
3940,0.000500021827221696,458,0.12786259541984735,0.03116889284722368,Crossing guards and flaggers,174247.03889999999
6950,0.0004964772504041645,459,0.12595419847328249,0.030883023415231848,Other extraction workers,267069.8448
9650,0.0004938119500186835,460,0.12404580152671751,0.030668067456733072,Pumping station operators,85735.1902
1600,0.0004825912166713395,461,0.12213740458015265,0.029763117491289556,Agricultural and food scientists,158681.8358
2003,0.000479031452179102,462,0.12022900763358779,0.02947602317628207,Marriage and family therapists,196044.1031
2755,0.00047813047577610347,463,0.11832061068702293,0.029403359604346112,"Disc jockeys, except radio",120432.3648
1450,0.0004703276595153302,464,0.11641221374045807,0.028774063988189238,Materials engineers,321621.8229
3256,0.0004523707050155248,465,0.1145038167938931,0.027325839094945868,Nurse anesthetists,173360.2364
8510,0.000448690330350598,466,0.11259541984732824,0.027029017592932986,Furniture finishers,69084.7647
7120,0.0004406294583231039,467,0.11068702290076338,0.026378909829303434,Audiovisual equipment installers and repairers,162056.5817
7100,0.0004405892490807158,468,0.10877862595419852,0.026375666961713302,"Electrical and electronics repairers, industrial and utility",92797.0345
1910,0.0004402972588566256,469,0.10687022900763354,0.026352118006843714,Biological technicians,148465.8826
8335,0.0004364077632040276,470,0.10496183206106868,0.026038430937785573,Shoe and leather workers,78801.5084
1350,0.0004345879105212459,471,0.10305343511450382,0.02589166017232706,Chemical engineers,440959.9695
8750,0.00043379205737067685,472,0.10114503816793896,0.025827474770285037,Jewelers and precious stone and metal workers,245583.1159
9110,0.0004244397274289128,473,0.0992366412213741,0.025073211176665375,"Ambulance drivers and attendants, except emergency medical technicians",65790.7617
7350,0.00042187693099946183,474,0.09732824427480913,0.02486652214231457,"Maintenance workers, machinery",174138.9913
3900,0.00042099512314323033,475,0.09541984732824427,0.02479540450995292,Animal control workers,41735.82
8530,0.00041587707491610017,476,0.0935114503816794,0.024382634914338567,"Sawing machine setters, operators, and tenders, wood",115813.1284
